"Rank","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"206","","Denver (DEN)","","DST7","10","147","240","189.0","30.7","157.0","-49.0"
"207","","Travis Benjamin","LAC","WR86","8","156","229","183.5","27.4","303.0","+96.0"
"208","","Seattle (SEA)","","DST8","7","137","256","192.3","42.3","227.0","+19.0"
"209","","New England (NE)","","DST9","11","147","244","189.5","34.9","202.0","-7.0"
"210","","Samaje Perine","WAS","RB65","4","113","225","182.7","49.6","160.0","-50.0"
"211","","Matt Bryant","ATL","K3","8","168","238","192.2","24.5","194.0","-17.0"
"212","","Baltimore (BAL)","","DST10","10","163","239","195.0","27.6","153.0","-59.0"
"213","","Spencer Ware","KC","RB66","12","133","258","201.7","37.3","204.0","-9.0"
"214","","Justin Tucker","BAL","K4","10","170","235","191.8","26.0","146.0","-68.0"
"215","","Willie Snead","BAL","WR87","10","131","249","206.5","45.4","310.0","+95.0"
"216","","New Orleans (NO)","","DST11","6","164","232","202.0","28.2","179.0","-37.0"
"217","","Vance McDonald","PIT","TE24","7","175","220","197.0","16.4","245.0","+28.0"
"218","","Case Keenum","DEN","QB26","10","161","211","190.8","17.0","185.0","-33.0"
"219","","Jameis Winston","TB","QB27","5","168","217","195.4","19.2","159.0","-60.0"
"220","","Jonathan Stewart","NYG","RB67","9","173","230","197.8","20.6","268.0","+48.0"
"221","","Mike Gesicki","MIA","TE25","11","160","256","202.2","31.1","203.0","-18.0"
"222","","Javorius Allen","BAL","RB68","10","163","219","193.5","20.9","225.0","+3.0"
"223","","John Kelly","LAR","RB69","12","171","270","207.3","44.5","283.0","+60.0"
"224","","Pittsburgh (PIT)","","DST12","7","166","236","201.8","25.8","181.0","-43.0"
"225","","Kansas City (KC)","","DST13","12","157","260","206.3","36.5","239.0","+14.0"
"226","","Darren Sproles","PHI","RB70","9","174","250","209.6","28.0","261.0","+35.0"
"227","","Jeremy Hill","NE","RB71","11","160","260","209.3","40.8","190.0","-37.0"
"228","","Hayden Hurst","BAL","TE26","10","178","216","198.6","15.4","176.0","-52.0"
"229","","Zay Jones","BUF","WR88","11","162","240","215.6","27.6","226.0","-3.0"
